Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude,Listing Type
https://www.zillow.com/homedetails/3275-Niagara-Sq-Pittsburgh-PA-15213/11413303_zpid/,,,130000,119100.0,1200,59600.0,10/12/2023,460.0,sqft,282.61,565.0,sqft,230.09,1.0,1.0,,,No,No,,3275 Niagara Sq,Pittsburgh,15213,PA,USA,40.43461,-79.95979,apartments
https://www.zillow.com/homedetails/206-Parks-Rd-Mc-Donald-PA-15057/2089606534_zpid/,,,340000,,1114,,09/13/2023,,,,6290.06,sqft,54.05,12.0,6.0,,Barbara Baker,No,No,,206 Parks Rd,Mc Donald,15057,PA,USA,40.338158,-80.17364,apartments
https://www.zillow.com/homedetails/221-Meredith-St-Pittsburgh-PA-15210/11556978_zpid/,,,88000,117800.0,1200,67100.0,08/11/2023,,,,6181.16,sqft,14.24,4.0,2.0,,Maryjay Rush,No,No,,221 Meredith St,Pittsburgh,15210,PA,USA,40.39799,-79.98461,apartments
https://www.zillow.com/homedetails/320-Zara-St-Pittsburgh-PA-15210/11316994_zpid/,,,90000,,1900,65500.0,08/04/2023,2479.0,sqft,36.3,3750.0,sqft,24.0,3.0,2.0,,,No,No,,320 Zara St,Pittsburgh,15210,PA,USA,40.415546,-79.99404,apartments
https://www.zillow.com/homedetails/151-Fort-Pitt-Blvd-APT-604-Pittsburgh-PA-15222/87986241_zpid/,,,460000,459500.0,2471,313600.0,07/31/2023,1275.0,sqft,360.78,,,,2.0,2.0,,David Onufer,No,No,Apt 604,151 Fort Pitt Blvd APT 604,Pittsburgh,15222,PA,USA,40.43869,-80.00467,apartments
https://www.zillow.com/homedetails/1116-Berkshire-Ave-Pittsburgh-PA-15226/11653614_zpid/,,,165000,,850,113300.0,07/27/2023,1974.0,sqft,83.59,,,,1.0,1.0,,,No,No,,1116 Berkshire Ave,Pittsburgh,15226,PA,USA,40.389565,-80.01622,apartments
https://www.zillow.com/homedetails/311-Walpole-Dr-Pittsburgh-PA-15235/11451079_zpid/,,,130000,160000.0,1154,87400.0,07/25/2023,1050.0,sqft,123.81,7062.0,sqft,18.41,2.0,1.0,,,No,No,,311 Walpole Dr,Pittsburgh,15235,PA,USA,40.46534,-79.84631,apartments
https://www.zillow.com/homedetails/910-West-St-Homestead-PA-15120/11292399_zpid/,,,126500,126100.0,1165,24600.0,07/24/2023,1744.0,sqft,72.53,1742.0,sqft,72.62,2.0,1.0,,,No,No,,910 West St,Homestead,15120,PA,USA,40.404945,-79.911095,apartments
https://www.zillow.com/homedetails/411-Biddle-Ave-Pittsburgh-PA-15221/11342270_zpid/,,,190000,195400.0,1569,92700.0,07/14/2023,1100.0,sqft,172.73,3388.0,sqft,56.08,2.0,1.5,,,No,No,,411 Biddle Ave,Pittsburgh,15221,PA,USA,40.438274,-79.891685,apartments
https://www.zillow.com/homedetails/112-Washington-Pl-Pittsburgh-PA-15219/11420532_zpid/,,,110000,152600.0,1849,68200.0,03/04/2021,1000.0,sqft,110.0,10585.0,sqft,10.39,2.0,2.0,,,No,No,,112 Washington Pl,Pittsburgh,15219,PA,USA,40.439552,-79.99235,apartments
