Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude,Listing Type
https://www.zillow.com/homedetails/187-Morrison-Dr-APT-13-Pittsburgh-PA-15216/11571415_zpid/,,,110000,111200.0,981,34200.0,10/13/2023,978.0,sqft,112.47,,,,1.0,1.0,,Darla Jobkar,No,No,Apt 13,187 Morrison Dr APT 13,Pittsburgh,15216,PA,USA,40.39441,-80.04732,condos
https://www.zillow.com/homedetails/1001-Grandview-Ave-APT-306-Bridgeville-PA-15017/11434414_zpid/,,,119000,121800.0,1500,72000.0,10/12/2023,1117.0,sqft,106.54,104.54,sqft,1138.28,2.0,2.0,,Michelle Williams,No,No,Apt 306,1001 Grandview Ave APT 306,Bridgeville,15017,PA,USA,40.35342,-80.10545,condos
https://www.zillow.com/homedetails/227-S-Home-Ave-APT-205-Pittsburgh-PA-15202/11325905_zpid/,,,120000,120000.0,1099,45000.0,10/10/2023,915.0,sqft,131.15,,,,2.0,1.0,,Sandra Toulouse,No,No,Apt 205,227 S Home Ave APT 205,Pittsburgh,15202,PA,USA,40.496544,-80.06349,condos
https://www.zillow.com/homedetails/227-S-Home-Ave-APT-103-Pittsburgh-PA-15202/11325895_zpid/,,,122000,122000.0,1595,51100.0,10/02/2023,1000.0,sqft,122.0,,,,2.0,2.0,,Amber Scott,No,No,Apt 103,227 S Home Ave APT 103,Pittsburgh,15202,PA,USA,40.496544,-80.06349,condos
https://www.zillow.com/homedetails/4002-Charlemagne-Cir-Pittsburgh-PA-15237/11522713_zpid/,,,106000,110900.0,950,66000.0,10/02/2023,735.0,sqft,144.22,,,,1.0,1.0,,Michael McAndrews,No,No,,4002 Charlemagne Cir,Pittsburgh,15237,PA,USA,40.544586,-80.01713,condos
https://www.zillow.com/homedetails/2465-Brook-Ledge-Rd-APT-13A-Bridgeville-PA-15017/59856787_zpid/,,,120000,120000.0,1140,48600.0,09/28/2023,920.0,sqft,130.43,,sqft,,2.0,1.0,,Anthony Johnson II,No,No,Apt 13A,2465 Brook Ledge Rd APT 13A,Bridgeville,15017,PA,USA,40.32761,-80.12095,condos
https://www.zillow.com/homedetails/4625-5th-Ave-APT-314-Pittsburgh-PA-15213/2059187741_zpid/,,,109750,,1725,,09/27/2023,,,,,sqft,,2.0,2.0,,Cindy Ingram,No,No,Apt 314,4625 5th Ave APT 314,Pittsburgh,15213,PA,USA,40.447445,-79.948006,condos
https://www.zillow.com/homedetails/1513-Forest-Green-Dr-Coraopolis-PA-15108/11552164_zpid/,,,88500,88500.0,984,46500.0,09/26/2023,803.0,sqft,110.21,,,,1.0,1.0,,Cindy Rebeck,No,No,,1513 Forest Green Dr,Coraopolis,15108,PA,USA,40.507694,-80.21575,condos
https://www.zillow.com/homedetails/1332-Forest-Green-Dr-Coraopolis-PA-15108/11552140_zpid/,,,118000,117900.0,1495,54300.0,09/22/2023,1124.0,sqft,104.98,,,,2.0,2.0,,Cindy Rebeck,No,No,,1332 Forest Green Dr,Coraopolis,15108,PA,USA,40.50796,-80.21602,condos
https://www.zillow.com/homedetails/3204-Faronia-St-Pittsburgh-PA-15204/11587676_zpid/,,,13500,,1142,29000.0,09/20/2023,940.0,sqft,14.36,1633.5,sqft,8.26,2.0,1.0,,Jason Mazzei,No,No,,3204 Faronia St,Pittsburgh,15204,PA,USA,40.451645,-80.06648,condos
