Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude,Listing Type
https://www.zillow.com/homedetails/1232-Faulkner-St-Pittsburgh-PA-15204/11483478_zpid/,,,68800,,1727,68900.0,10/13/2023,,,,3301.85,sqft,20.84,6.0,2.0,,Libby Sosinski,No,No,,1232 Faulkner St,Pittsburgh,15204,PA,USA,40.454456,-80.06481,multi
https://www.zillow.com/homedetails/304-Pilgrim-Way-Pittsburgh-PA-15215/11333424_zpid/,,,95000,101600.0,1599,60600.0,10/06/2023,,,,1681.42,sqft,56.5,4.0,2.0,,Morgan Valecko,No,No,,304 Pilgrim Way,Pittsburgh,15215,PA,USA,40.49398,-79.937386,multi
https://www.zillow.com/homedetails/7304-Church-St-Pittsburgh-PA-15218/11345633_zpid/,,,70500,70500.0,1500,63800.0,09/29/2023,,,,2252.05,sqft,31.3,4.0,2.0,,Kevin Brewer,No,No,,7304 Church St,Pittsburgh,15218,PA,USA,40.421043,-79.89209,multi
https://www.zillow.com/homedetails/2813-Wylie-Ave-Pittsburgh-PA-15219/11260714_zpid/,,,80000,80000.0,2639,10100.0,09/21/2023,,,,1163.05,sqft,68.78,3.0,2.0,,Jennifer Mooney,No,No,,2813 Wylie Ave,Pittsburgh,15219,PA,USA,40.450043,-79.96764,multi
https://www.zillow.com/homedetails/3016-Boyd-St-McKeesport-PA-15132/11461985_zpid/,,,42000,42000.0,1374,29500.0,09/21/2023,,,,3149.39,sqft,13.34,4.0,2.0,,Ryan Shedlock,No,No,,3016 Boyd St,McKeesport,15132,PA,USA,40.345753,-79.84101,multi
https://www.zillow.com/homedetails/1512-Elm-St-Pittsburgh-PA-15221/11378472_zpid/,,,78500,78500.0,925,28500.0,09/18/2023,,,,7723.19,sqft,10.16,4.0,2.0,,Joshua Swinehart,No,No,,1512 Elm St,Pittsburgh,15221,PA,USA,40.44917,-79.88188,multi
https://www.zillow.com/homedetails/824-Grant-Ave-Duquesne-PA-15110/11423591_zpid/,,,53000,53100.0,832,30000.0,09/15/2023,,,,2800.91,sqft,18.92,5.0,3.0,,Jabel Warren,No,No,,824 Grant Ave,Duquesne,15110,PA,USA,40.37185,-79.8535,multi
https://www.zillow.com/homedetails/165-Wylie-Canonsburg-PA-15317/2057099176_zpid/,,,95000,95000.0,997,,09/13/2023,,,,3750.52,sqft,25.33,5.0,2.0,,Jeff McCartney,No,No,,165 Wylie,Canonsburg,15317,PA,USA,,,multi
https://www.zillow.com/homedetails/3675-Centralia-St-Pittsburgh-PA-15204/11592464_zpid/,,,83333,83300.0,1595,35000.0,09/08/2023,,,,0.46,acres,181949.78,6.0,3.0,,Ian Hoover,No,No,,3675 Centralia St,Pittsburgh,15204,PA,USA,40.459976,-80.07073,multi
https://www.zillow.com/homedetails/7918-Lloyd-Ave-Pittsburgh-PA-15218/11382494_zpid/,,,46000,46000.0,866,4300.0,09/01/2023,,,,3598.06,sqft,12.78,4.0,2.0,,Hugh McVeagh,No,No,,7918 Lloyd Ave,Pittsburgh,15218,PA,USA,40.424034,-79.87765,multi
https://www.zillow.com/homedetails/607-Allegheny-Ave-Glassport-PA-15045/11543261_zpid/,,,95000,95000.0,2671,71400.0,08/30/2023,,,,4499.75,sqft,21.11,8.0,4.0,,Ryan Shedlock,No,No,,607 Allegheny Ave,Glassport,15045,PA,USA,40.325577,-79.89321,multi
https://www.zillow.com/homedetails/1034-36-Summit-St-McKeesport-PA-15132/2056115202_zpid/,,,50000,50000.0,714,,08/24/2023,,,,4438.76,sqft,11.26,3.0,2.0,,Barbara Baker,No,No,,1034 36 Summit St,McKeesport,15132,PA,USA,,,multi
https://www.zillow.com/homedetails/2113-Vantine-St-Pittsburgh-PA-15221/11417055_zpid/,,,63000,63000.0,850,52800.0,08/23/2023,,,,4356.0,sqft,14.46,4.0,2.0,,Robert Moncavage,No,No,,2113 Vantine St,Pittsburgh,15221,PA,USA,40.452362,-79.8635,multi
https://www.zillow.com/homedetails/1067-Cleveland-Ave-Brackenridge-PA-15014/11280512_zpid/,,,40000,40000.0,1050,38700.0,08/22/2023,,,,5031.18,sqft,7.95,4.0,2.0,,Thomas Bencho,No,No,,1067 Cleveland Ave,Brackenridge,15014,PA,USA,40.60878,-79.73825,multi
https://www.zillow.com/homedetails/1300-Packer-Ave-N-Braddock-PA-15104/2057932990_zpid/,,,26511,,1099,,08/16/2023,,,,1742.4,sqft,15.22,,,,Robert Moncavage,No,No,,1300 Packer Ave N,Braddock,15104,PA,USA,,,multi
https://www.zillow.com/homedetails/1314-Patterson-Ave-McKeesport-PA-15132/11462113_zpid/,,,55000,,1464,52300.0,08/15/2023,3124.0,sqft,17.61,3000.0,sqft,18.33,7.0,2.0,,,No,No,,1314 Patterson Ave,McKeesport,15132,PA,USA,40.343964,-79.837845,multi
