Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude,Listing Type
https://www.zillow.com/homedetails/201-Marc-Dr-Pittsburgh-PA-15236/11391108_zpid/,,,158000,164200.0,1347,91100.0,10/13/2023,992.0,sqft,159.27,2500.34,sqft,63.19,2.0,2.0,,Monica Thomas,No,No,,201 Marc Dr,Pittsburgh,15236,PA,USA,40.359707,-79.96059,townhouses
https://www.zillow.com/homedetails/617-E-19th-Ave-Homestead-PA-15120/11293429_zpid/,,,125200,127500.0,1164,20800.0,10/12/2023,,,,1742.4,sqft,71.85,2.0,2.0,,Nadezhda Kholodenko,No,No,,617 E 19th Ave,Homestead,15120,PA,USA,40.401794,-79.89998,townhouses
https://www.zillow.com/homedetails/319-McKee-Rd-North-Versailles-PA-15137/11573102_zpid/,,,110000,110000.0,1482,66900.0,10/10/2023,1180.0,sqft,93.22,2369.66,sqft,46.42,3.0,2.0,,Jen Wylie,No,No,,319 McKee Rd,North Versailles,15137,PA,USA,40.36664,-79.79474,townhouses
https://www.zillow.com/homedetails/147-Ligonier-Ln-New-Kensington-PA-15068/11596133_zpid/,,,138000,138000.0,1331,77800.0,10/10/2023,992.0,sqft,139.11,967.03,sqft,142.7,2.0,2.0,,Robert Giancola,No,No,,147 Ligonier Ln,New Kensington,15068,PA,USA,40.529057,-79.77815,townhouses
https://www.zillow.com/homedetails/2629-Brackenridge-St-Pittsburgh-PA-15219/11261019_zpid/,,,33000,,1364,34500.0,10/09/2023,1080.0,sqft,30.56,1790.32,sqft,18.43,2.0,1.0,,Albert Anthony,No,No,,2629 Brackenridge St,Pittsburgh,15219,PA,USA,40.44661,-79.96711,townhouses
https://www.zillow.com/homedetails/604-West-St-Pittsburgh-PA-15221/11341959_zpid/,,,155000,155000.0,1650,75600.0,10/06/2023,1225.0,sqft,126.53,2221.56,sqft,69.77,3.0,2.0,,Michelle Thompson,No,No,,604 West St,Pittsburgh,15221,PA,USA,40.44222,-79.89096,townhouses
https://www.zillow.com/homedetails/103-Andover-Ct-West-Mifflin-PA-15122/11427722_zpid/,,,87000,87000.0,1249,72300.0,10/05/2023,1008.0,sqft,86.31,1973.27,sqft,44.09,2.0,2.0,,Neal Dunn,No,No,,103 Andover Ct,West Mifflin,15122,PA,USA,40.34949,-79.92378,townhouses
https://www.zillow.com/homedetails/1-Rheams-Ave-Pittsburgh-PA-15202/11267718_zpid/,,,133000,133000.0,995,35000.0,10/04/2023,810.0,sqft,164.2,2613.6,sqft,50.89,2.0,1.0,,John Butera,No,No,,1 Rheams Ave,Pittsburgh,15202,PA,USA,40.48612,-80.053116,townhouses
https://www.zillow.com/homedetails/1703-Anna-Ave-West-Mifflin-PA-15122/11389355_zpid/,,,120000,120000.0,1247,74400.0,10/02/2023,1160.0,sqft,103.45,1912.28,sqft,62.75,2.0,2.0,,Emily Fraser,No,No,,1703 Anna Ave,West Mifflin,15122,PA,USA,40.36704,-79.868,townhouses
https://www.zillow.com/homedetails/589-Lucia-Dr-Pittsburgh-PA-15221/11455142_zpid/,,,87100,87100.0,1581,75400.0,10/02/2023,,,,,,,3.0,2.0,,Cecil Broadus,No,No,,589 Lucia Dr,Pittsburgh,15221,PA,USA,40.426437,-79.836655,townhouses
https://www.zillow.com/homedetails/591-Lucia-Dr-Pittsburgh-PA-15221/11455143_zpid/,,,80000,80000.0,1571,77500.0,10/02/2023,,,,,,,3.0,2.0,,Cecil Broadus,No,No,,591 Lucia Dr,Pittsburgh,15221,PA,USA,40.426506,-79.83672,townhouses
https://www.zillow.com/homedetails/7330-Susquehanna-Homewood-Pittsburgh-PA-15208/2056816141_zpid/,,,145000,,1399,,09/29/2023,1168.0,sqft,124.14,,,,2.0,2.0,,Deanna Davis,No,No,,7330 Susquehanna Homewood,Pittsburgh,15208,PA,USA,,,townhouses
https://www.zillow.com/homedetails/206-Amanda-Ave-Pittsburgh-PA-15210/11316509_zpid/,,,60000,60000.0,1200,33700.0,09/26/2023,1360.0,sqft,44.12,2095.24,sqft,28.64,2.0,1.0,,Michael Pohlot,No,No,,206 Amanda Ave,Pittsburgh,15210,PA,USA,40.416336,-79.98789,townhouses
https://www.zillow.com/homedetails/119-Cambria-Hill-Dr-E-Tarentum-PA-15084/2055964421_zpid/,,,120000,118100.0,892,,09/22/2023,,,,1306.8,sqft,91.83,2.0,1.0,,Rachael Schafer,No,No,,119 Cambria Hill Dr E,Tarentum,15084,PA,USA,,,townhouses
https://www.zillow.com/homedetails/117-Cambria-Hill-Dr-Tarentum-PA-15084/11623708_zpid/,,,127125,127100.0,1200,58600.0,09/21/2023,930.0,sqft,136.69,1176.12,sqft,108.09,2.0,2.0,,Rachael Schafer,No,No,,117 Cambria Hill Dr,Tarentum,15084,PA,USA,40.573627,-79.783424,townhouses
https://www.zillow.com/homedetails/503-Tyler-Dr-Pittsburgh-PA-15236/11391129_zpid/,,,142500,142500.0,1323,95900.0,09/20/2023,1056.0,sqft,134.94,2191.07,sqft,65.04,2.0,2.0,,Diane McConaghy,No,No,,503 Tyler Dr,Pittsburgh,15236,PA,USA,40.35932,-79.96062,townhouses
https://www.zillow.com/homedetails/610-E-17th-Ave-Homestead-PA-15120/11293381_zpid/,,,55000,55000.0,1099,18800.0,09/15/2023,,,,8712.0,sqft,6.31,3.0,2.0,,William Duffett,No,No,,610 E 17th Ave,Homestead,15120,PA,USA,40.402992,-79.90067,townhouses
https://www.zillow.com/homedetails/211-Marc-Dr-Pittsburgh-PA-15236/11391113_zpid/,,,155000,155000.0,1280,91300.0,09/15/2023,960.0,sqft,161.46,,,,2.0,2.0,,Hollie Hooper,No,No,,211 Marc Dr,Pittsburgh,15236,PA,USA,40.359863,-79.960815,townhouses
https://www.zillow.com/homedetails/915-Smithton-Ave-Pittsburgh-PA-15212/11606173_zpid/,,,125000,125000.0,1307,21300.0,09/14/2023,2592.0,sqft,48.23,4543.31,sqft,27.51,3.0,1.0,,Mary Kay Abdulovic,No,No,,915 Smithton Ave,Pittsburgh,15212,PA,USA,40.474743,-80.02376,townhouses
https://www.zillow.com/homedetails/312-Bell-Ave-Mc-Kees-Rocks-PA-15136/11488298_zpid/,,,55000,55000.0,999,16600.0,09/07/2023,1024.0,sqft,53.71,1960.2,sqft,28.06,2.0,2.0,,Lena Summers,No,No,,312 Bell Ave,Mc Kees Rocks,15136,PA,USA,40.465767,-80.057465,townhouses
https://www.zillow.com/homedetails/186-Chartiers-Ave-Pittsburgh-PA-15205/11583638_zpid/,,,160000,160000.0,1500,92000.0,09/01/2023,1080.0,sqft,148.15,3240.86,sqft,49.37,3.0,2.0,,Janette Schafer,No,No,,186 Chartiers Ave,Pittsburgh,15205,PA,USA,40.424038,-80.08027,townhouses
https://www.zillow.com/homedetails/525-Overbrook-Blvd-Pittsburgh-PA-15210/11648216_zpid/,,,150000,150000.0,1463,58100.0,08/31/2023,1200.0,sqft,125.0,2482.92,sqft,60.41,3.0,2.0,,Angie Flowers,No,No,,525 Overbrook Blvd,Pittsburgh,15210,PA,USA,40.38495,-79.99296,townhouses
https://www.zillow.com/homedetails/519-Sunnyside-Ave-East-Pittsburgh-PA-15112/11458740_zpid/,,,72000,72000.0,1200,24300.0,08/29/2023,1280.0,sqft,56.25,1716.26,sqft,41.95,3.0,1.0,,Daniel Demers,No,No,,519 Sunnyside Ave,East Pittsburgh,15112,PA,USA,40.394558,-79.84065,townhouses
https://www.zillow.com/homedetails/1410-Key-Ave-Pittsburgh-PA-15216/11566476_zpid/,,,125800,125900.0,1280,75700.0,08/25/2023,1304.0,sqft,96.47,2639.74,sqft,47.66,2.0,1.0,,Theodora Konidaris,No,No,,1410 Key Ave,Pittsburgh,15216,PA,USA,40.39668,-80.03222,townhouses
https://www.zillow.com/homedetails/144-Ligonier-Ct-New-Kensington-PA-15068/11596300_zpid/,,,145500,145500.0,1295,71000.0,08/22/2023,868.0,sqft,167.63,1498.46,sqft,97.1,2.0,2.0,,Jennifer Mascaro,No,No,,144 Ligonier Ct,New Kensington,15068,PA,USA,40.52836,-79.77744,townhouses
https://www.zillow.com/homedetails/1715-Commercial-St-Pittsburgh-PA-15218/11345450_zpid/,,,140000,140100.0,999,19000.0,08/18/2023,960.0,sqft,145.83,988.81,sqft,141.58,2.0,1.0,,Monice Ming Tong,No,No,,1715 Commercial St,Pittsburgh,15218,PA,USA,40.420204,-79.89779,townhouses
https://www.zillow.com/homedetails/202-Rhodes-Ave-West-Mifflin-PA-15122/11389325_zpid/,,,85950,85800.0,1234,63600.0,08/04/2023,1218.0,sqft,70.57,1942.78,sqft,44.24,2.0,2.0,,Michael Bello,No,No,,202 Rhodes Ave,West Mifflin,15122,PA,USA,40.367115,-79.86762,townhouses
https://www.zillow.com/homedetails/111-Hemlock-St-Pittsburgh-PA-15212/11388748_zpid/,,,97900,111800.0,1348,62700.0,08/01/2023,,,,1873.08,sqft,52.27,2.0,1.0,,William Oberst,No,No,,111 Hemlock St,Pittsburgh,15212,PA,USA,40.457375,-80.0057,townhouses
https://www.zillow.com/homedetails/117-College-Park-Dr-Coraopolis-PA-15108/11584174_zpid/,,,127500,139400.0,1864,61700.0,08/01/2023,1320.0,sqft,96.59,583.7,sqft,218.43,3.0,2.0,,Jeffrey Hrapla,No,No,,117 College Park Dr,Coraopolis,15108,PA,USA,40.519894,-80.222275,townhouses
https://www.zillow.com/homedetails/128-Ligonier-Ct-New-Kensington-PA-15068/11596292_zpid/,,,158000,158000.0,1299,77300.0,07/31/2023,992.0,sqft,159.27,1285.02,sqft,122.96,2.0,2.0,,Melissa Blazer,No,No,,128 Ligonier Ct,New Kensington,15068,PA,USA,40.528606,-79.77673,townhouses
